Długość Geograficzna;Szerokość Geograficzna;ID Słupka;Typ Przystanku
17.12473187;51.14658030;29131;3
17.03056017;51.11805751;10654;03
17.10444537;51.15370497;29516;3
16.94106129;51.13714914;18014;0
16.98893292;51.09066943;11654;0
16.94032898;51.13738143;18013;0
17.02053929;51.14775210;23150;3
17.04117731;51.10899835;10119;3
17.05384280;51.12838294;20730;3
16.95807128;51.12405659;12541;3
17.12901857;51.15558308;29522;3
17.15412049;51.10352349;24713;3
17.04415281;51.12391727;20634;0
16.98655581;51.09128154;11727;3
17.00101013;51.11243171;10548;3
17.02925954;51.10165234;10233;0
16.90416774;51.10920957;17510;3
17.09352322;51.05302747;25320;3
17.04595499;51.09979617;20212;0
16.84524263;51.11351768;17734;3
16.87125685;51.14471511;18387;3
17.03998160;51.07716031;21030;0
17.00818654;51.08014492;11214;0
17.09753489;51.06983313;25134;3
17.02139076;51.08977424;11344;3
17.11564093;51.15165155;29502;3
16.90586919;51.14185120;18015;0
17.02364622;51.11696544;10523;3
17.11165182;51.10543862;24518;3
16.96875577;51.13747783;12736;3
17.15474217;51.10335595;24714;3
17.08921450;51.07679045;25142;3
16.99683129;51.07498631;16516;3
17.10333429;51.11364498;24315;3
17.06528881;51.08534689;21162;3
17.05797863;51.13838495;23736;3
17.08160413;51.11943273;24319;3
17.00771969;51.11292785;10406;0
16.98483072;51.12616644;12318;3
17.01333341;51.06838623;16529;3
16.83964368;51.12898030;18335;3
16.95825689;51.14062651;12707;3
16.99920899;51.06767570;16405;0
17.08466996;51.10446678;24408;0
17.05908537;51.13852288;23713;3
16.97803815;51.11424094;12105;3
16.95177714;51.11949148;12142;3
16.97172821;51.13346162;12701;3
17.03189917;51.11726742;10601;03
16.96883677;51.13738753;12738;3
17.02110563;51.09420317;11203;0
16.94754152;51.12198566;12129;3
17.02472450;51.11624154;10556;3
17.03497559;51.12474914;20615;03
17.03270704;51.09531745;21003;0
16.99529000;51.12637660;12311;3
17.03414067;51.08929570;21104;3
17.02475992;51.10182170;10375;3
17.03041633;51.09339306;11036;0
16.95921792;51.13308890;12526;3
17.03503322;51.12431438;20610;03
16.92790798;51.15746735;18527;3
16.88756114;51.16669833;18731;3
17.08249598;51.06374727;25305;3
17.01318436;51.10159521;10385;3
16.98852446;51.14769709;23313;3
17.01249942;51.08713865;11303;3
16.95900179;51.12400883;12544;3
17.02988057;51.14814790;23020;0
17.01660504;51.13611685;23111;3
17.04357891;51.09175622;21123;3
17.05080816;51.08277939;21145;3
16.90824985;51.17425390;18742;3
17.03047301;51.09818469;11322;3
16.89857604;51.11080115;17516;3
16.99719800;51.16918004;23507;3
17.06395198;51.07850556;21022;0
17.11194969;51.13060652;24123;3
17.08107915;51.13951481;24106;3
16.99192456;51.09761219;11601;0
17.03286481;51.09291405;21115;3
17.00708869;51.07473562;11215;0
16.97764001;51.05538513;16718;3
17.08080604;51.13916822;24105;3
16.98676913;51.14481192;23305;3
17.14224172;51.10717597;24711;3
17.00354717;51.06850207;16404;0
17.04528827;51.10019776;20263;0
16.90182076;51.17053566;18720;3
17.03399798;51.12431518;20619;0
17.08907094;51.13201673;24115;3
16.99667087;51.07512230;16515;3
16.97904813;51.13591837;12713;3
17.10846721;51.10115843;24415;0
17.03884383;51.11347912;10025;03
17.06522581;51.13166221;24003;0
17.10232233;51.10220568;24414;0
16.88979777;51.14387282;18007;0
16.85488048;51.12923070;18323;3
17.03689849;51.10512525;10051;0
17.05649989;51.05871291;26103;3
17.14667761;51.15828577;29112;3
17.09819462;51.12969347;24118;3
16.93446029;51.15703171;18508;3
16.95289375;51.07596155;17128;3
16.99309074;51.09765536;11702;3
17.01090988;51.07243751;11367;3
17.03966493;51.10769558;10032;0
17.12650739;51.11670115;24724;3
17.05491954;51.11625304;20803;03
16.90004871;51.14249334;18006;0
17.02125590;51.10686137;10371;3
17.04037965;51.10106446;20321;3
17.07443778;51.13098303;24148;3
